EXCHANGE,BASE,QUOTE
aax,BTC,USDT
aax,BTC,USD
aax,ETH,USDT
aax,SOL,USDT
aax,ADA,USDT
aax,XRP,USDT
aax,DOGE,USDT
aax,AAB,USDT
aax,BCH,USDT
aax,BTC,USDT
aax,SHIB,USDT
aax,DOT,USDT
aax,AXS,USDT
aax,ETH,USDT
aax,LINK,USDT
aax,CELR,USDT
aax,ADA,USDT
aax,SOL,USDT
aax,LDO,USDT
aax,DYDX,USDT
aax,KLAY,USDT
aax,QUICK,USDT
aax,DODO,USDT
aax,GRT,USDT
aax,BAND,USDT
aax,GTC,USDT
aax,KNC,USDT
aax,POWR,USDT
aax,YFII,USDT
aax,SDN,USDT
aax,QNT,USDT
aax,GERA,USDT
aax,GERA,BTC
aax,GERA,ETH
aax,LIQ,USDT
aax,GHC,USDT
aax,FEEDTK,USDT
aax,QRDO,USDT
aax,MOVD,USDT
aax,ENS,USDT
aax,GM,USDT
aax,BABYDOGEK,USDT
aax,FLOKI,USDT
aax,LSP,USDT
aax,LTNM,USDT
aax,LTNM,BTC
aax,MMUI,USDT
aax,EFI,USDT
aax,TORG,USDT
aax,BCH,USDT
aax,ETH,BTC
aax,LTC,USDT
aax,DOT,USDT
aax,DOGE,USDT
aax,XRP,USDT
aax,BNB,USDT
aax,SHIB,USDT
aax,UNI,USDT
aax,FIL,USDT
aax,PAXG,BTC
aax,EOS,USDT
aax,ETC,USDT
aax,LINK,USDT
aax,TRX,USDT
aax,OKB,USDT
aax,HT,USDT
aax,SATS,USDT
aax,MATIC,USDT
aax,ATOM,USDT
aax,XLM,USDT
aax,KSM,USDT
aax,CAKE,USDT
aax,BTT,USDT
aax,CRV,USDT
aax,SUSHI,USDT
aax,LUNA,USDT
aax,DASH,USDT
aax,AVAX,USDT
aax,AXS,USDT
aax,AAVE,USDT
aax,THETA,USDT
aax,FTT,USDT
aax,MATIC,USDT
aax,XVS,USDT
aax,VET,USDT
aax,1INCH,USDT
aax,TUSD,USDT
aax,USDP,USDT
aax,DAI,USDT
aax,BUSD,USDT
aax,NEO,USDT
aax,CHZ,USDT
aax,ALPHA,USDT
aax,FTM,USDT
aax,ANKR,USDT
aax,STORJ,USDT
aax,TLM,USDT
aax,BAKE,USDT
aax,SUN,USDT
aax,MASK,USDT
aax,ZEC,USDT
aax,KAVA,USDT
aax,MBOX,USDT
aax,OMG,USDT
aax,QTUM,USDT
aax,YFI,USDT
aax,ENJ,USDT
aax,ZEN,USDT
aax,UMA,USDT
aax,ALICE,USDT
aax,CLV,USDT
aax,OGN,USDT
aax,SLP,USDT
aax,LINA,USDT
aax,MANA,USDT
aax,SAND,USDT
aax,COMP,USDT
aax,COMP,USDT
aax,AKRO,USDT
aax,SRM,USDT
aax,CVC,USDT
aax,SAMO,USDT
aax,MKR,USDT
aax,REEF,USDT
aax,ZRX,USDT
aax,AUDIO,USDT
aax,PAXG,USDT
aax,REP,USDT
aax,LPT,USDT
aax,LRC,USDT
aax,REN,USDT
aax,SNX,USDT
aax,ZIL,USDT
aax,RAY,USDT
aax,STEP,USDT
aax,SOC,USDT
aax,PSG,USDT
aax,TFUEL,USDT
aax,BAT,USDT
aax,CEL,USDT
aax,DOCK,USDT
aax,DYDX,USDT
aax,AAVE,BTC
aax,ADA,BTC
aax,ADA,ETH
aax,BAND,BTC
aax,BAT,BTC
aax,BAT,ETH
aax,BCD,BTC
aax,BCD,ETH
aax,BCH,BTC
aax,BSV,BTC
aax,BSV,USDT
aax,BNT,BTC
aax,BNT,USDT
aax,BTG,BTC
aax,BTG,ETH
aax,COMP,BTC
aax,CTXC,BTC
aax,CTXC,ETH
aax,CTXC,USDT
aax,DASH,BTC
aax,DASH,ETH
aax,DOCK,BTC
aax,DOCK,ETH
aax,ELF,BTC
aax,ELF,ETH
aax,ELF,USDT
aax,EOS,BTC
aax,EOS,ETH
aax,ETC,BTC
aax,GTO,BTC
aax,GTO,ETH
aax,GUSD,USDT
aax,HOT,BTC
aax,HOT,ETH
aax,HOT,USDT
aax,KNC,BTC
aax,KNC,ETH
aax,LEND,BTC
aax,LEND,USDT
aax,LINK,BTC
aax,LINK,ETH
aax,LTC,BTC
aax,LTC,ETH
aax,MKR,BTC
aax,NEO,BTC
aax,NEO,ETH
aax,OMG,BTC
aax,OMG,ETH
aax,PAX,USDT
aax,PGX,USDT
aax,QTUM,BTC
aax,QTUM,ETH
aax,SNT,BTC
aax,SNT,ETH
aax,SNT,USDT
aax,SNX,BTC
aax,TFW,USDT
aax,TRX,BTC
aax,TRX,ETH
aax,USDC,USDT
aax,XBT,USDT
aax,XLM,BTC
aax,XLM,ETH
aax,XRP,BTC
aax,XRP,ETH
aax,ZEC,BTC
aax,ZEC,ETH
aax,ZIL,BTC
aax,ZIL,ETH
aax,ZRX,BTC
aax,ZRX,ETH
aofex,BTC,USDT
aofex,ETH,USDT
aofex,ETH,BTC
aofex,LTC,ETH
aofex,BRC,AQ
aofex,LTC,AQ
aofex,BCH,AQ
aofex,ADA,AQ
aofex,TRX,AQ
aofex,DASH,AQ
aofex,IOTA,AQ
aofex,NEO,AQ
aofex,LTC,BTC
aofex,BCH,BTC
aofex,ADA,BTC
aofex,TRX,BTC
aofex,DASH,BTC
aofex,IOTA,BTC
aofex,NEO,BTC
aofex,ADA,ETH
aofex,TRX,ETH
aofex,LTC,USDT
aofex,BCH,USDT
aofex,ONT,BTC
aofex,ADA,USDT
aofex,TRX,USDT
aofex,ONT,USDT
aofex,NEO,USDT
aofex,BTC,AQ
aofex,ETH,AQ
aofex,EOS,AQ
aofex,BRC,USDT
aofex,USDT,AQ
aofex,EOS,USDT
aofex,XRP,AQ
aofex,XRP,USDT
aofex,XRP,BTC
aofex,CXC,AQ
aofex,DGD,BTC
aofex,LOOM,BTC
aofex,LRC,BTC
aofex,MANA,BTC
aofex,ELF,BTC
aofex,LINK,BTC
aofex,BAT,BTC
aofex,OMG,BTC
aofex,LAMB,BTC
aofex,MANA,AQ
aofex,ELF,AQ
aofex,LRC,AQ
aofex,LOOM,AQ
aofex,DGD,AQ
aofex,ZIL,AQ
aofex,XMR,AQ
aofex,QTUM,AQ
aofex,VET,AQ
aofex,BSV,AQ
aofex,LINK,AQ
aofex,BAT,AQ
aofex,OMG,AQ
aofex,LAMB,AQ
aofex,XLM,AQ
aofex,ETC,AQ
aofex,ZEC,AQ
aofex,BTM,AQ
aofex,IOST,AQ
aofex,CXC,USDT
aofex,XEM,AQ
aofex,AE,AQ
aofex,GXC,AQ
aofex,WTC,AQ
aofex,TEP,AQ
aofex,VIDY,AQ
aofex,VIDY,USDT
aofex,WTC,USDT
aofex,GXC,USDT
aofex,DOGE,AQ
aofex,DOGE,USDT
aofex,ICX,AQ
aofex,ICX,USDT
aofex,CTXC,AQ
aofex,CTXC,USDT
aofex,QTUM,USDT
aofex,IOTA,USDT
aofex,BSV,USDT
aofex,OMG,USDT
aofex,BTM,USDT
aofex,MAXX,AQ
aofex,XLM,USDT
aofex,ETC,USDT
aofex,VET,USDT
aofex,LINK,USDT
aofex,ZIL,USDT
aofex,BAT,USDT
aofex,XMR,USDT
aofex,ZEC,USDT
aofex,IOST,USDT
aofex,ONT,AQ
aofex,DASH,USDT
aofex,XEM,USDT
